epoch,train_loss,train_r2,test_loss,test_r2
1,80.67205238342285,-2.8636023783955156,83.46131591796875,-2.5456891318315282
2,79.25760803222656,-2.8615294667261053,83.42313537597656,-2.543017256278362
3,80.71439666748047,-2.859295999619977,83.22425842285156,-2.5299538140472113
4,79.55647201538086,-2.853970277928729,83.15681915283203,-2.5257448505181794
5,79.51736564636231,-2.851008889877553,83.11435394287109,-2.5229965640526855
6,78.36098556518554,-2.847171819951922,83.06379089355468,-2.51968697977441
7,78.6712818145752,-2.844957234960428,83.01234588623046,-2.516309453377017
8,80.58804473876953,-2.8452002921051993,82.94234619140624,-2.5117175282553355
9,80.09038352966309,-2.837005900853618,82.87356262207031,-2.5072032397583865
10,78.09638595581055,-2.836177146560968,82.81731567382812,-2.503503132240218
11,78.17332572937012,-2.8302336448889616,82.76299591064453,-2.4999267401862997
12,78.38085823059082,-2.8286004562688785,82.71772003173828,-2.4969426691122147
13,78.33546562194825,-2.826413596201828,82.6791976928711,-2.4944030089991758
14,79.85775451660156,-2.8224520625437317,82.64060974121094,-2.4918585212002684
15,79.92033157348632,-2.815672468161342,82.59997100830078,-2.4891794344139115
16,77.28237342834473,-2.814021951611255,82.5582763671875,-2.4864332251899985
17,77.26600456237793,-2.809314298660079,82.51087188720703,-2.483312868151697
18,79.34690551757812,-2.804288785821699,82.46087799072265,-2.4800247404182882
19,77.24146041870117,-2.8028779045096694,82.408642578125,-2.4765927230608784
20,77.78034782409668,-2.7977850400745075,82.35165252685547,-2.4728505741088807
21,77.70305366516114,-2.7956675023629063,82.2947280883789,-2.4691172100450167
22,78.01108741760254,-2.7866235661943914,82.23760375976562,-2.465367805177071
23,78.97174110412598,-2.7844504809565627,82.17152404785156,-2.4610335294428007
24,78.65507507324219,-2.7817112909965043,82.09993591308594,-2.456341046455546
25,77.4164981842041,-2.7727417321066863,82.01483612060547,-2.450782214803747
26,78.41831398010254,-2.7708953631661286,81.94180755615234,-2.4460223832889647
27,76.86167182922364,-2.765087876988008,81.88218994140625,-2.4421353101816643
28,76.46675109863281,-2.7617299479286688,81.82636108398438,-2.4384966015983482
29,76.93618278503418,-2.757663783491788,81.76966247558593,-2.434803093395718
30,77.60957641601563,-2.7524548730637957,81.7122589111328,-2.4310653928250683
31,78.17964134216308,-2.747230173138226,81.65285186767578,-2.4272003171648264
32,77.64370307922363,-2.744521563877861,81.59026184082032,-2.4231322653112235
33,77.0041015625,-2.7367050863369995,81.52467346191406,-2.418873669935868
34,77.10449562072753,-2.7323990926576616,81.45399780273438,-2.414290070353321
35,76.20685615539551,-2.7286720857082813,81.378173828125,-2.4093824147775513
36,78.1355354309082,-2.7198043034273702,81.30286560058593,-2.404510512214605
