epoch,train_loss,train_r2,test_loss,test_r2
1,80.3781566619873,-2.877830154815319,83.64061889648437,-2.5574287927722033
2,78.39042015075684,-2.876696281108689,83.62797698974609,-2.5566038929647372
3,79.61780014038087,-2.875586377042573,83.6128936767578,-2.555620131690805
4,79.82459144592285,-2.874485150172958,83.596875,-2.5545750715911213
5,79.36276931762696,-2.8731838241544225,83.58204345703125,-2.553607286313825
6,80.32834434509277,-2.8723892392426507,83.56736755371094,-2.5526495706097627
7,80.92576179504394,-2.871230345246336,83.55105743408203,-2.5515842754978455
8,79.2733715057373,-2.8698951249756024,83.53559875488281,-2.5505755099639025
9,80.1277286529541,-2.868720160654956,83.52050018310547,-2.5495895997641584
10,79.56460990905762,-2.8677748082107577,83.50559997558594,-2.548616317311504
11,80.12223358154297,-2.866359540230431,83.48883819580078,-2.5475212221586365
12,78.51994361877442,-2.864995735753371,83.47220153808594,-2.546434347331379
13,78.47247619628907,-2.8642864166559665,83.45653076171875,-2.545410742958266
14,78.61365966796875,-2.8634214802815134,83.44320068359374,-2.544539285743001
15,79.46294860839843,-2.8617676578964892,83.42766571044922,-2.543524058634068
16,77.97982139587403,-2.860706345147114,83.41090240478516,-2.5424280984746757
17,79.12954978942871,-2.8590905707290277,83.39342651367187,-2.54128536232347
18,78.62653923034668,-2.858030244185384,83.37589263916016,-2.540138949107654
19,78.49087829589844,-2.857047281550552,83.36310424804688,-2.5393023122666043
20,79.41235809326172,-2.855620460934479,83.34634399414062,-2.53820573233775
21,79.6029094696045,-2.8546995924934033,83.33052368164063,-2.5371705951576704
22,78.49345741271972,-2.8532871271130738,83.31714477539063,-2.5362951181646225
23,79.43842926025391,-2.852288209408722,83.30109558105468,-2.535244885821513
24,80.07890930175782,-2.8511777809254104,83.28279724121094,-2.5340468595045844
25,77.68888969421387,-2.8502088678896342,83.26903991699218,-2.5331461862359457
26,78.91753845214843,-2.849027904089975,83.25462493896484,-2.532201987814946
27,79.91541442871093,-2.847047414192336,83.23319702148437,-2.53079869933975
28,78.17040786743163,-2.8461214377582085,83.21590576171874,-2.5296658965443957
29,79.39122772216797,-2.8444666164684986,83.2011489868164,-2.528699039564008
30,79.3831958770752,-2.84389258513606,83.18588256835938,-2.5276985928124507
31,79.23392677307129,-2.842198905249044,83.16810150146485,-2.5265331951908214
32,79.42030868530273,-2.8409873652886812,83.15344696044922,-2.5255727294049493
33,78.91958312988281,-2.8399638635510898,83.13781127929687,-2.5245477513741568
34,79.42727813720703,-2.838282762834986,83.11848754882813,-2.523280231669789
35,80.41622467041016,-2.8373495443005496,83.09991912841797,-2.5220624238180838
36,78.42199935913087,-2.8361692782325276,83.08555450439454,-2.5211198775028927
37,78.5844940185547,-2.834662827927721,83.06643829345703,-2.5198655356697053
38,78.33928680419922,-2.834124161054132,83.05312957763672,-2.5189920759974993
39,78.34765701293945,-2.8323981169881787,83.03719329833984,-2.517946136103072
40,78.56612777709961,-2.830819353109422,83.01579895019532,-2.516541648713787
41,78.09232330322266,-2.830226271998568,82.99865417480468,-2.515415729731852
42,78.87263412475586,-2.8279792837804063,82.97519226074219,-2.5138746725296754
43,76.66380996704102,-2.8273250618342565,82.95478973388671,-2.512534519706055
44,79.05191268920899,-2.8253047074767763,82.93892211914063,-2.5114921810531454
45,81.56909141540527,-2.8232319656336418,82.91849365234376,-2.5101494186685516
46,80.33116455078125,-2.823420032242906,82.9039321899414,-2.5091919849385187
47,78.08540687561035,-2.8204240422654703,82.87832183837891,-2.5075083633812194
48,79.44155807495117,-2.819612557039513,82.86298217773438,-2.506499590918168
49,77.76249160766602,-2.817488394726116,82.84314422607422,-2.505194734797764
50,77.4956657409668,-2.8169745793578547,82.82844848632813,-2.5042280394555356
51,79.93067436218261,-2.8143894507880693,82.80287170410156,-2.502545118118144
52,78.25588531494141,-2.814103910687389,82.78727569580079,-2.501518124921367
53,77.7353012084961,-2.811642715981048,82.76016693115234,-2.4997338214859472
54,79.20176239013672,-2.809671465375365,82.74469909667968,-2.4987154382629346
55,78.76726188659669,-2.809549745803198,82.7271743774414,-2.4975612968568597
56,78.65433387756347,-2.80820224895893,82.70584716796876,-2.496156350994919
57,78.08210105895996,-2.8066233966771654,82.68515472412109,-2.4947924943324473
58,80.57753562927246,-2.8042359131582297,82.65826568603515,-2.4930204482652707
59,79.26402053833007,-2.8020116086785616,82.63408508300782,-2.4914272190157245
60,78.48107070922852,-2.8011113307881246,82.61161651611329,-2.4899470903885716
61,78.90210723876953,-2.7986690928394418,82.58758544921875,-2.488364522865724
62,77.45291252136231,-2.7960852061832635,82.55679779052734,-2.486338149548128
63,77.22011108398438,-2.796390150820112,82.54415588378906,-2.485506070245602
64,77.31247100830078,-2.79234842598294,82.51470336914062,-2.483568496649894
65,79.33897895812989,-2.791849283494069,82.48738098144531,-2.4817715214652654
66,78.333203125,-2.791301180468423,82.4578872680664,-2.4798324529200264
67,77.45891990661622,-2.7864795681902033,82.42985687255859,-2.477990484638578
68,77.77116050720215,-2.785613112644102,82.40743103027344,-2.476516918684292
69,78.37374763488769,-2.7840590791747077,82.38516540527344,-2.475054727833835
70,79.27228088378907,-2.7822759035870543,82.36246643066406,-2.473564481648929
71,77.92261810302735,-2.778955996695624,82.32839813232422,-2.471328340245432
72,79.35204734802247,-2.7770253823842004,82.30349426269531,-2.4696947250119443
73,77.82504043579101,-2.7742623902137877,82.26219329833984,-2.466986488649219
74,78.01938247680664,-2.770358756510143,82.23008880615234,-2.464881743820281
75,77.17493362426758,-2.7695299468930576,82.19376220703126,-2.462502004771792
76,76.1622314453125,-2.766334937875655,82.14881134033203,-2.459558717938814
77,78.86770706176758,-2.7666114396276824,82.14548950195312,-2.459341253180489
78,77.95943222045898,-2.7620402856575894,82.1128433227539,-2.4572048112118186
79,78.99809532165527,-2.7611773559740325,82.06412506103516,-2.45401820515277
80,77.46380844116212,-2.7567701492477616,82.03773651123046,-2.452293195849764
81,77.4659049987793,-2.753614670344468,81.99443664550782,-2.44946386764499
82,77.60251960754394,-2.749293634781283,81.9475082397461,-2.4463990983642128
83,77.00214385986328,-2.747837619616499,81.90534362792968,-2.443647218661561
84,77.33162345886231,-2.744945106015637,81.87147674560546,-2.4414378928031337
85,78.00784721374512,-2.740569417215641,81.82391510009765,-2.438337058034585
86,78.15382385253906,-2.7390734412508286,81.79060211181641,-2.436166262823061
87,76.69786338806152,-2.737175983839091,81.73778839111328,-2.4327266950436206
88,76.79153747558594,-2.7343979551175783,81.69693298339844,-2.430067624453778
89,77.46625785827636,-2.730270813429611,81.64925994873047,-2.4269667134709727
90,77.15952110290527,-2.7242320104660593,81.59912719726563,-2.423708078646546
91,78.11882247924805,-2.720127200942461,81.54030151367188,-2.4198869483663565
92,76.10470008850098,-2.718058266886089,81.49118499755859,-2.4166985131783614
93,77.17385330200196,-2.710630606053793,81.42000579833984,-2.412082559201964
94,77.10704803466797,-2.706832526784503,81.35757751464844,-2.4080373873313974
95,76.51954536437988,-2.7067691004586307,81.30778503417969,-2.40481322949351
96,76.16149024963379,-2.6977389147449715,81.23456268310547,-2.4000761849478667
97,77.77988967895507,-2.6943481040400767,81.18674011230469,-2.3969847434346763
