epoch,train_loss,train_r2,test_loss,test_r2
1,78.01488876342773,-2.8820186879027485,83.57507629394532,-2.553164703473019
2,80.41589622497558,-2.877008355246722,83.50718383789062,-2.548411780560648
3,80.89681129455566,-2.8721123596838685,83.32123565673828,-2.536281321203171
4,78.68805541992188,-2.8676952532612345,83.24154663085938,-2.5313427980858245
5,79.08858032226563,-2.8663647548446183,83.20055389404297,-2.528661369410368
6,80.09222221374512,-2.860246393073547,83.15912170410157,-2.525945718273468
7,80.07910766601563,-2.8572356507362042,83.11846466064453,-2.523279932936705
8,77.7010482788086,-2.8535909166187956,83.07530059814454,-2.520448110640587
9,77.93874320983886,-2.8487049920983756,83.03101348876953,-2.517541629664315
10,77.56063804626464,-2.8464099344471943,82.98772277832032,-2.5146994806752314
11,78.56305274963378,-2.8429200477131564,82.94348602294922,-2.511793699550224
12,78.48778648376465,-2.839761637196522,82.89870147705078,-2.5088500744258644
13,78.47087936401367,-2.8342886228162016,82.85380554199219,-2.505898088116244
14,79.31862983703613,-2.829015650740149,82.80680389404297,-2.502806263372797
15,78.00120811462402,-2.828476478206423,82.75889892578125,-2.4996538340096106
16,78.61393775939942,-2.823690935961676,82.71150970458984,-2.496533778633724
17,78.84797477722168,-2.8196527347249756,82.66353607177734,-2.4933735996366937
18,79.39690628051758,-2.8138233513387623,82.61502227783203,-2.4901785019250977
19,76.61371612548828,-2.8103887365105624,82.564111328125,-2.486827910980629
20,77.64361000061035,-2.806875179516712,82.51113433837891,-2.4833505673592318
21,77.43360900878906,-2.8038904297366862,82.45863037109375,-2.4799082596842563
22,78.55843620300293,-2.8012465933216837,82.40297393798828,-2.4762575359238057
23,78.15878753662109,-2.791968399305531,82.34598236083984,-2.472521772468743
24,77.53013305664062,-2.7896377338697804,82.28845825195313,-2.4687537656403995
25,77.87095756530762,-2.7857907968041986,82.22847290039063,-2.4648237739345715
26,76.62088050842286,-2.780516525003167,82.1628921508789,-2.4605253592111413
27,78.22520065307617,-2.775703485753827,82.09037170410156,-2.4557714915100637
28,77.32567329406739,-2.772161836750533,82.01709899902343,-2.450973210269444
29,77.81520919799804,-2.767559805119915,81.93418579101562,-2.4455492772100738
30,75.90886154174805,-2.7600675064412035,81.85519409179688,-2.4403911517782566
31,77.50009574890137,-2.756126419668866,81.78455047607422,-2.4357801966046577
32,76.46058540344238,-2.7526559649044495,81.72049713134766,-2.4316055387925553
33,79.21389999389649,-2.7509788563058457,81.65871734619141,-2.4275847814390503
34,78.18136978149414,-2.7391372380397927,81.59440765380859,-2.423404237108885
35,77.86918907165527,-2.73503088317851,81.52990112304687,-2.4192133469602464
36,76.9705982208252,-2.7330802436813233,81.46648406982422,-2.4150966753397753
37,77.27686576843261,-2.726218616655256,81.40119171142578,-2.410862925757621
38,77.28702354431152,-2.720807793737661,81.33580322265625,-2.4066271986230565
39,77.38474006652832,-2.7186104390236876,81.27201843261719,-2.402498317703042
40,76.08046226501465,-2.71106226437194,81.20596160888672,-2.398226192988423
41,77.12196731567383,-2.7065364404603622,81.13987579345704,-2.3939561592685465
42,77.0281379699707,-2.704628248274034,81.07484893798828,-2.3897579676149467
43,78.33155746459961,-2.6953696721432028,81.00776672363281,-2.385431590646781
44,75.3668155670166,-2.6894104728188997,80.94069061279296,-2.381108700075836
45,76.25474243164062,-2.6866432025217204,80.87374877929688,-2.3767993131673597
46,76.69948501586914,-2.68150306330631,80.80497894287109,-2.372375235105315
47,76.37649650573731,-2.676752470148182,80.7370361328125,-2.3680087246432984
48,76.24054527282715,-2.6681541024374984,80.66692962646485,-2.363507539851129
49,76.70355453491212,-2.6654388273902314,80.59539947509765,-2.358918538503504
50,76.44137802124024,-2.662032442250509,80.52559509277344,-2.3544452710700763
51,75.30655288696289,-2.654940010826369,80.4526382446289,-2.3497735264468993
